ride_id,bike_id,user_type,start_station,end_station,start_time,end_time,duration_minutes,distance_km,status
RIDE-8946,bike-1543,vip,West_End,Central_Station,2025/12/05 15:35,2025/12/05 16:13,-38.7,-4.05 ,Unvalidated
RIDE-88697,BIkE-P9,vip,North_Market,,2026/04/24 15:35,2026/04/24 15:00,-28.0,-3.45km,Unvalidated
RIDE-73058,,admin,West_End,University,2025/10/17 15:35,2025/10/17 16:31,-60.7,-14.21km,Unvalidated
RIDE-23194,BIkE-3193,member,City_Hall,Tech_District,2026/19/04 15:35,2026/19/04 14:01,89.0,18.39 ,Unvalidated
RIDE-9273,bIKE-3733,member,South_Gardens,West_End,21/04/2026 15:35,21/04/2026 16:35,-52.8,-6.11 ,Unvalidated
RIDE-81819,bIKE-3837,maybe,West_End,Downtown_Plaza,2026-01-24 15:35,2026-01-24 16:51,-83.3,-9.72km,Unvalidated
RIDE-65999,BIKE-4 561,robo t,jgo>7,<Qm;-E,24/10/2025 15:35,2 4/1 0/2 02 5 15:25,-17.8,-3.03 ,Unvalidated
RIDE-36031,BiKe-1706,member,South_Gardens,City_Hall,2025-11-23 15:35,2025-11-23 15:23,-4.8,-3.53km,Unvalidated
RIDE-44023,BiKe-T2,casual,South_Gardens,University,26-12-2025 15:35,26-12-2025 15:01,-42.7,-11.32km,Unvalidated
RIDE-20289,bike-4442,casual,University,Downtown_Plaza,06-07-2025 15:35,06-07-2025 12:57,-148.4,-16.62km,Unvalidated
RIDE-76913,bike-1733,tourist,J,j2NU,2026/04/10 15:35,2026/04/10 15:33,3.5,2.07 ,Unvalidated
RIDE-26512,bike-K2,member,East_Terminal,Central_Station,2026/12/01 15:35,2026/12/01 15:29,15.8,2.14km,Unvalidated
RIDE-96005,,member,DIJdlAE|:4,q:zdOO4,2025-06-14 15:35,2025-06-14 16:36,-58.8,-14.06km,Unvalidated
RIDE-49341,bike-4200,maybe,River_Park,Central_Station,2026/03/23 15:35,2026/03/23 13:16,-142.6,-17.22km,Unvalidated
RIDE-7 9495,Bike-69,member,River _Park, Riv er_ Park, 2026/01/07 1 5:35,2 026/01 /07 16:19,, 13.03km,Unvalidated
RIDE-18929,bike-E4,AdmIN,West_End,Tech_District,24/03/2026 15:35,24/03/2026 13:56,-104.4,-15.28km,Unvalidated
RIDE-64432,bIKE-J2,member,North_Market,West_End,11/03/2026 15:35,11/03/2026 15:25,-8.1,-1.58 ,Unvalidated
RIDE-27727,bike-1362,robot,North_Market,South_Gardens,10-08-2025 15:35,10-08-2025 16:04,-19.3,-9.45 ,Unvalidated
RIDE-94070,BIKE-2429,meMbER,South_Gardens,City_Hall,26/04/2026 15:35,26/04/2026 16:17,49.7,17.73 ,Unvalidated
RIDE-74819, BIkE-2872,vip, East _Terminal,, 21 -0 7- 2025 15:35,21-07-202 5 17:24,104.7,15.83 ,Unvalidated
RIDE-98624,bike-I9,member,City_Hall,Tech_District,22-07-2025 15:35,22-07-2025 14:22,63.3,8.4 ,Unvalidated
RIDE-69092,BiKe-3605,robot,East_Terminal,East_Terminal,04/04/2026 15:35,04/04/2026 16:03,36.5,7.63km,Unvalidated
RIDE-82580,bIKE-2161,vip,West_End,West_End,28/03/2026 15:35,28/03/2026 15:15,-24.3,-9.32 ,Unvalidated
RIDE-71237,,admin,DOWNTOWN_PLAZA,CENTRAL_STATION,2026/22/05 15:35,2026/22/05 16:11,-45.7,-18.08 ,Unvalidated
RIDE-12855,,member,East_Terminal,,2025/22/06 15:35,2025/22/06 16:05,29.6,9.86km,Unvalidated
RIDE-86136,,mEmber,East_Terminal,University,2025/25/10 15:35,2025/25/10 15:29,16.2,5.51km,Unvalidated
RIDE-43416,BiKe-2581,member,North_Market,North_Market,2025-12-19 15:35,2025-12-19 15:22,7.3,5.05 ,Unvalidated
RIDE -61433,, robot,Unive rsity,Central_Station,2 026 /06/ 06 15:35,2026/06 /06 15:15,-1 7.1,-5.12  ,Unvalidated
RIDE-16377,BIkE-1034,tourist,Central_Station,Tech_District,15/09/2025 15:35,15/09/2025 16:30,-50.6,-15.25km,Unvalidated
RIDE-87493,BiKe-4384,tourist,Central_Station,University,2025-07-06 15:35,2025-07-06 15:00,36.7,9.13 ,Unvalidated
RIDE-56447,BIkE-4282,robot,East_Terminal,West_End,08-01-2026 15:35,08-01-2026 15:20,17.0,5.34km,Unvalidated
RIDE-87789,Bike-4930,admin,NORTH_MARKET,NORTH_MARKET,2025/06/12 15:35,2025/06/12 17:05,-98.3,-14.74km,Unvalidated
RIDE-50692,,member,University,University,30/04/2026 15:35,30/04/2026 15:39,0.1,0.09km,Unvalidated
RIDE-51388,BIkE-424,maYBE,[5do=d}SH,w,2025-10-30 15:35,2025-10-30 14:03,89.2,10.23 ,Unvalidated
RIDE-92285,bIKE-4133,robot,East_Terminal,Central_Station,2026/04/19 15:35,2026/04/19 17:09,-92.0,-12.85km,Unvalidated
RI DE-44129,bIKE-1940,admin,D owntow n_P  laza,North_Mark et,2025-06-11  15:35,20 25- 06-11 1 3:39, 124.7,13.13 ,Unvalidated
RIDE-5698,,AdMin,West_End,,23-11-2025 15:35,23-11-2025 15:50,12.0,8.43 ,Unvalidated
RIDE-4931,BIKE-4844,casual,North_Market,Downtown_Plaza,2026/30/01 15:35,2026/30/01 17:27,112.5,12.52 ,Unvalidated
RIDE-53818,Bike-34,tourist,TECH_DISTRICT,CENTRAL_STATION,2026/11/04 15:35,2026/11/04 16:23,-39.1,-16.88km,Unvalidated
RIDE-66338,Bike-4311,casual,,University,05-02-2026 15:35,05-02-2026 16:45,-69.3,-19.79 ,Unvalidated
RIDE-23789,Bike-156,robot,North_Market,South_Gardens,2026/02/01 15:35,2026/02/01 15:09,-24.7,-4.83 ,Unvalidated
RIDE-64461,BiKe-62,casual,,Central_Station,2026-05-06 15:35,2026-05-06 14:51,-50.5,-8.95km,Unvalidated
RIDE-13343,Bike-X6,maybe,City_Hall,,2025/26/08 15:35,2025/26/08 14:33,55.6,6.86km,Unvalidated
RIDE-78693,BiKe-2524,robot,Tech_District,West_End,2025/07/02 15:35,2025/07/02 15:57,-14.5,-3.11km,Unvalidated
RIDE-84233,bike-4031,maybe,East_Terminal,Downtown_Plaza,2026-01-01 15:35,2026-01-01 16:51,-84.7,-15.21km,Unvalidated
RI D E-8652,BIkE-1394,me  mber,Eas t_Terminal,Rive r_Park,29/06/2025 15 :35,29/06/2025  15:23,-15.5,-2.7 4km,Unvalidated
RIDE-79807,BIkE-L2,MeMbeR,University,East_Terminal,2025-08-26 15:35,2025-08-26 15:36,-3.8,-0.8 ,Unvalidated
RIDE-49484,Bike-3399,admin,Downtown_Plaza,South_Gardens,2025-07-05 15:35,2025-07-05 16:44,-74.6,-7.65km,Unvalidated
RIDE-91972,BIKE-375,member,Tech_District,East_Terminal,03-08-2025 15:35,03-08-2025 15:47,-2.3,-0.25 ,Unvalidated
 RIDE-1 9050,B IkE-1269,robot,TECH_DISTRICT,NORTH_MARKET,2026 / 02/2 6  15:35,2026/02/26  15:04,29.6,17.54 ,Unvalidated
RIDE-48394,bIKE-3764,robot,8j,kvM,13-02-2026 15:35,13-02-2026 16:21,42.2,11.93km,Unvalidated
RIDE-30376,,vip,,qU-amgtlW,2026/02/16 15:35,2026/02/16 15:00,38.0,9.4 ,Unvalidated
RIDE-99362,bIKE-3201,maybe,Central_Station,West_End,2025/25/12 15:35,2025/25/12 13:04,-147.8,-16.78km,Unvalidated
RIDE-43633,BIkE-4288,member,Tech_District,West_End,2025-09-07 15:35,2025-09-07 14:51,46.3,11.79 ,Unvalidated
RIDE-54625,BIkE-85,casual,7bYO`8npk,RTxq,2025-07-12 15:35,2025-07-12 15:49,15.1,7.84km,Unvalidated
RIDE-88621,BIkE-1587,maybe,Tech_District,City_Hall,2026-06-01 15:35,2026-06-01 15:35,0.5,0.06km,Unvalidated
RIDE-57824,BiKe-1080,robot,Hf803Nnz,wLxy@NqRW`,2026-02-22 15:35,2026-02-22 16:28,45.9,6.5km,Unvalidated
RIDE-11473,b ike-4720,maybe,VI_l3w8iY,-Q9wJz>, 2026-04-15 15:35,2026-04 - 15 16:13,-28 .8,-7.2km,Unvalidated
RIDE-61243,BIKE-4762,member,Tech_District,City_Hall,2025/11/17 15:35,2025/11/17 16:29,-47.3,-14.82km,Unvalidated
RIDE-39355,BiKe-444,robot,_Hi<P?/,XpqJ3og-S,2025/11/21 15:35,2025/11/21 13:51,96.8,17.78 ,Unvalidated
RIDE-22156,BIKE-1892,vip,ckPw22RytE,U`.FI_`,12/10/2025 15:35,12/10/2025 15:13,31.9,6.43km,Unvalidated
RIDE-67120,bIKE-2405,vip,North_Market,Tech_District,27-10-2025 15:35,27-10-2025 16:39,-58.6,-6.68km,Unvalidated
RID  E-41473,BIkE-3535,robot,,YbTi, 18/04/ 2026  15:35,18 /04 /2 0 26  17:19,101. 9,11.54 ,Unvalidated
RIDE-38299,BIkE-3914,TouRIsT,Central_Station,East_Terminal,10/10/2025 15:35,10/10/2025 15:40,1.0,0.95km,Unvalidated
RIDE-83988,bIKE-108,casual,West_End,University,05/10/2025 15:35,05/10/2025 15:35,-10.1,-6.3km,Unvalidated
RIDE-76108,BIkE-3378,admin,Tech_District,West_End,21-09-2025 15:35,21-09-2025 14:37,52.9,9.32km,Unvalidated
RIDE-66746,BIkE-2661,vip,City_Hall,,15/03/2026 15:35,15/03/2026 14:39,-59.1,-7.97km,Unvalidated
RIDE-23686,BIkE-1978,robot,North_Market,University,2026/03/25 15:35,2026/03/25 17:25,-117.8,-12.82km,Unvalidated
RIDE-79358,bike-2016,maybe,UNIVERSITY,RIVER_PARK,16/10/2025 15:35,16/10/2025 15:56,-17.7,-16.17 ,Unvalidated
RIDE-58215,Bike-1170,tourist,TECH_DISTRICT,UNIVERSITY,2025/31/08 15:35,2025/31/08 13:34,-113.5,-13.95 ,Unvalidated
RI DE-92913,bIKE  - 3134,vip,,Eas t_Terminal,2025-08-0 3 15: 35,2025-08-03 15:26,-4.6,-0.52km,Unvalidated
RIDE-79846,BIkE-4925,admin,r5PXtpAWD/PS,hpAp,2025/09/06 15:35,2025/09/06 15:26,19.0,2.02 ,Unvalidated
RIDE-78136,bike-3084,robot,West_End,West_End,24-03-2026 15:35,24-03-2026 16:09,34.6,4.01 ,Unvalidated
RIDE-92602,BIKE-4063,member,River_Park,North_Market,22-04-2026 15:35,22-04-2026 13:57,-95.0,-12.64km,Unvalidated
RIDE-2011,BIkE-4597,caSual,East_Terminal,University,2025/29/07 15:35,2025/29/07 18:34,,17.15 ,Unvalidated
RIDE-64982,Bike-3390,admin,University,City_Hall,2026-04-03 15:35,2026-04-03 16:45,-66.8,-8.35 ,Unvalidated
RIDE-84304,bIKE-2356,mAYbE,East_Terminal,Central_Station,28-06-2025 15:35,28-06-2025 16:11,41.6,12.44km,Unvalidated
RIDE-74819,bike-H1,vip,River_Park,West_End,12-05-2026 15:35,12-05-2026 13:49,-96.9,-15.43 ,Unvalidated
RIDE-38639,bIKE-P7,member,North_Market,South_Gardens,03-11-2025 15:35,03-11-2025 12:29,176.8,17.77 ,Unvalidated
RIDE-59646,BIKE-137,tourist,Central_Station,Central_Station,28/01/2026 15:35,28/01/2026 15:56,23.1,4.36km,Unvalidated
RIDE-47106,bIKE-249,robOt,,West_End,2025/06/09 15:35,2025/06/09 16:40,-67.9,-10.48km,Unvalidated
RIDE-83404,BIkE-2761,robot,CITY_HALL,DOWNTOWN_PLAZA,2026/14/04 15:35,2026/14/04 14:03,-83.3,-19.15 ,Unvalidated
RIDE-12831,BiKe-3925,mayBe,South_Gardens,City_Hall,2025/16/07 15:35,2025/16/07 12:42,167.6,17.27 ,Unvalidated
RIDE-27137,,robot,ullLq,JocD9FF@Z,20/02/2026 15:35,20/02/2026 17:48,-133.9,-17.61 ,Unvalidated
RIDE-73670,bIKE-4417,tourist,North_Market,West_End,2026/06/06 15:35,2026/06/06 15:41,,-0.19 ,Unvalidated
RIDE-28842,,tourist,University,City_Hall,11/12/2025 15:35,11/12/2025 15:07,20.1,6.9km,Unvalidated
RIDE-77596,bike-2330,tourist,Central_Station,East_Terminal,2025/08/28 15:35,2025/08/28 16:43,,19.35 ,Unvalidated
RIDE-53325,bike-4701,maybe,Downtown_Plaza,Tech_District,02/07/2025 15:35,02/07/2025 16:30,-45.1,-4.69km,Unvalidated
RIDE-68992,BIkE-3231,casual,Tech_District,Tech_District,2025/10/29 15:35,2025/10/29 16:16,48.4,14.78km,Unvalidated
RIDE-18123,BIKE-4809,casual,,East_Terminal,2025/18/07 15:35,2025/18/07 15:31,-4.9,-2.39km,Unvalidated
RIDE-81578,bike-313,casual,City_Hall,South_Gardens,2025/17/12 15:35,2025/17/12 15:47,-12.9,-2.06km,Unvalidated
RIDE-32587,BIKE-3364,tourist,West_End,University,2025/17/08 15:35,2025/17/08 14:58,-44.4,-11.36 ,Unvalidated
RIDE-9916,Bike-4108,maybe,University,West_End,2025/06/25 15:35,2025/06/25 15:26,4.9,0.57 ,Unvalidated
RIDE-55511,BIKE-1738,maybe,,West_End,2026-02-27 15:35,2026-02-27 12:49,,17.37km,Unvalidated
RIDE-689,bike-1789,admin,East_Terminal,East_Terminal,08/06/2025 15:35,08/06/2025 17:02,-84.2,-8.61km,Unvalidated
RIDE-15073,BiKe-2113,robot,,North_Market,2025/29/12 15:35,2025/29/12 16:39,,6.91km,Unvalidated
RIDE-19698,BIkE-1545,member,South_Gardens,,13-11-2025 15:35,13-11-2025 15:47,18.1,9.81 ,Unvalidated
RIDE-36,,maybe,0R{Ikph\{0,92|?agVYP,2025-08-21 15:35,2025-08-21 15:16,-15.0,-3.4km,Unvalidated
R I DE-3485,BiK  e-2018,vip,University,Ci  ty_Hall,20-02-202  6 15:35,20-02-2026  16:28,,10.06km,Unvalidated
RIDE-27568,BiKe-3904,casu al,Tech _Dis trict,Uni versity, 0 8/07/2025  15:35,08/07/2 025  1 2:49, -17 4.8, -18.01km,Unvalidated
RIDE-94373,,robot,East_Terminal,South_Gardens,2025/15/06 15:35,2025/15/06 12:38,178.9,19.66 ,Unvalidated
RIDE-69685,BIkE-1288,member,Central_Station,,2026/21/02 15:35,2026/21/02 16:05,-25.7,-8.64km,Unvalidated
RIDE-23314,BIkE-H7,vip,East_Terminal,City_Hall,2026/06/04 15:35,2026/06/04 16:58,-83.2,-16.06 ,Unvalidated
RIDE-73749,BiKe-3185,cAsual,n,j1M4bY4,07-09-2025 15:35,07-09-2025 13:25,-123.1,-13.01km,Unvalidated
RIDE-48541,Bike-777,vip,Tech_District,Central_Station,2026/05/27 15:35,2026/05/27 15:38,-5.7,-5.31km,Unvalidated
RIDE-71137,bIKE-1920,casual,South_Gardens,Central_Station,29-05-2026 15:35,29-05-2026 16:09,42.0,19.96 ,Unvalidated
RIDE-93539,BIkE-3793,maybe,Tech_District,East_Terminal,02/06/2026 15:35,02/06/2026 16:28,-54.8,-5.58km,Unvalidated
RIDE-98575,Bike-3155,MemBeR,NORTH_MARKET,CENTRAL_STATION,17-02-2026 15:35,17-02-2026 16:14,37.5,6.59 ,Unvalidated
RIDE-11510,Bike-1774,ROBoT,City_Hall,,21/06/2025 15:35,21/06/2025 16:15,,7.47 ,Unvalidated
RIDE-74930,BiKe-1729,TOurIst,wh,9,2025-11-08 15:35,2025-11-08 15:55,23.9,5.11 ,Unvalidated
RIDE-30578,,aDmIn,North_Market,River_Park,2026/19/03 15:35,2026/19/03 16:51,81.2,14.33 ,Unvalidated
RIDE-33999,bIKE-757,member,West_End,East_Terminal,13-02-2026 15:35,13-02-2026 15:58,19.5,9.42 ,Unvalidated
RIDE-98497,,tourist,North_Market,Tech_District,2026-03-24 15:35,2026-03-24 16:39,-55.6,-12.11 ,Unvalidated
RIDE-91337,BIkE-3096,ADmiN,Downtown_Plaza,East_Terminal,2026/05/08 15:35,2026/05/08 14:41,-46.5,-13.17km,Unvalidated
RIDE-46082,Bike-2482,tourist,Central_Station,West_End,19/10/2025 15:35,19/10/2025 14:38,-67.2,-10.18km,Unvalidated
RIDE-53093,bike-2198,casual,zvNL0Z],.S_ID@\9aC3`Od,2026/20/05 15:35,2026/20/05 14:18,-83.0,-19.93km,Unvalidated
RIDE-96689,BIkE-2803,vip,University,,2026/04/25 15:35,2026/04/25 13:15,-150.5,-17.12 ,Unvalidated
RIDE-90224,BIkE-1351,maybe,Central_Station,,2026/19/05 15:35,2026/19/05 18:12,,16.66 ,Unvalidated
RIDE-21717,Bike-1443,member,East_Terminal,Central_Station,2026/21/02 15:35,2026/21/02 15:38,12.2,2.4 ,Unvalidated
RIDE-10772,,admin,University,City_Hall,21/01/2026 15:35,21/01/2026 14:31,,-16.14km,Unvalidated
RIDE-65253,bike-877,vip,Central_Station,Downtown_Plaza,2025/09/24 15:35,2025/09/24 13:53,92.5,16.25 ,Unvalidated
RIDE-26823,BIkE-U8,mEmbeR,South_Gardens,Downtown_Plaza,2025/10/18 15:35,2025/10/18 15:53,-18.3,-8.67 ,Unvalidated
RIDE-66643,BIkE-Y9,vip,CENTRAL_STATION,EAST_TERMINAL,2025/11/09 15:35,2025/11/09 15:41,-1.1,-0.46 ,Unvalidated
RIDE-32929,BiKe-2258,member,UNIVERSITY,NORTH_MARKET,2025/23/11 15:35,2025/23/11 14:48,41.2,5.01km,Unvalidated
RIDE-30664,Bike-4720,casual,University,West_End,2025/11/14 15:35,2025/11/14 15:54,27.4,15.2km,Unvalidated
RIDE-11355,,robot,West_End,West_End,03-09-2025 15:35,03-09-2025 15:08,,-7.03km,Unvalidated
RIDE-62701,bIKE-2624,casual,Downtown_Plaza,City_Hall,2026/03/23 15:35,2026/03/23 16:54,-77.5,-8.59 ,Unvalidated
RIDE-56802,bike-191,admin,Tech_District,South_Gardens,2025/23/09 15:35,2025/23/09 15:54,13.6,4.42 ,Unvalidated
RIDE-63708,,casual,,Tech_District,2025/21/10 15:35,2025/21/10 16:12,32.3,8.9 ,Unvalidated
RIDE-31073,BiKe-340,robot,North_Market,East_Terminal,23/01/2026 15:35,23/01/2026 17:11,-97.9,-12.44km,Unvalidated
RIDE-8029,,tourist,EAST_TERMINAL,RIVER_PARK,2025/11/12 15:35,2025/11/12 16:40,68.2,16.15km,Unvalidated
RIDE-37898,BIKE-K5,member,City_Hall,North_Market,2025/05/07 15:35,2025/05/07 17:46,140.8,19.16 ,Unvalidated
RIDE-16756,BIkE-2830,mEmBeR,8l{ek]F,Rh:_oYy,2025/12/07 15:35,2025/12/07 13:41,109.6,11.4km,Unvalidated
RIDE-76092,Bike-2273,maybe,East_Terminal,South_Gardens,19/07/2025 15:35,19/07/2025 17:16,-94.0,-10.5 ,Unvalidated
RIDE-64985,bike-2006,member,kIS6a\0,=AOGRN:W,21-02-2026 15:35,21-02-2026 14:51,-46.0,-18.66 ,Unvalidated
RIDE-77627,BIkE-3747,maybe,City_Hall,Central_Station,30-12-2025 15:35,30-12-2025 15:58,29.5,4.19km,Unvalidated
RIDE-28129,,vip,,,2025/12/25 15:35,2025/12/25 14:57,39.1,5.46km,Unvalidated
RIDE-2367,BIkE-4256,maybe,University,South_Gardens,2025-09-26 15:35,2025-09-26 15:18,,3.81km,Unvalidated
RIDE-93143,BIkE-B3,robot,CH3Sr,,21/07/2025 15:35,21/07/2025 14:44,53.8,11.85 ,Unvalidated
 RID E-93598,BIkE- 634,maybe,CENTRAL_STATION,CITY_HALL,2025/11/17  15:35,2 0 25/11/17 16 :28,-52.1,-19.25km,Unvalidated
RIDE-13470,BIkE-1562,maybe,<\]D\-35mF}_9,\6o2HyX=F36;X,26/09/2025 15:35,26/09/2025 15:39,6.6,1.91km,Unvalidated
RIDE-87753,Bike-2161,casual,University,River_Park,2025-06-28 15:35,2025-06-28 15:16,-10.4,-2.91 ,Unvalidated
RIDE-52040,BIkE-806,maybe,NORTH_MARKET,TECH_DISTRICT,2025/10/18 15:35,2025/10/18 15:18,15.9,4.5km,Unvalidated
RIDE-22766,bIKE-2812,cAsual,University,West_End,2026/02/24 15:35,2026/02/24 15:20,13.9,13.6 ,Unvalidated
RIDE-68259,BIKE-55,tourist,North_Market,,2025-07-14 15:35,2025-07-14 14:44,53.2,6.0 ,Unvalidated
RIDE-21344,Bike-3832,tourist,City_Hall,City_Hall,2025/14/11 15:35,2025/14/11 15:30,9.2,7.57km,Unvalidated
RIDE-47819,bike-2005,member,,West_End,23/03/2026 15:35,23/03/2026 15:52,23.7,4.74 ,Unvalidated
RIDE-55816,BIkE-J7,tourist,West_End,South_Gardens,2025/18/07 15:35,2025/18/07 14:55,48.7,6.51 ,Unvalidated
RIDE-72330,bike-R3,ViP,-67aV9Lr,Q=,2025/27/07 15:35,2025/27/07 15:24,10.4,2.49 ,Unvalidated
RIDE-77629,Bike-1593,maybe,West_End,River_Park,2026/11/05 15:35,2026/11/05 12:34,,-19.04km,Unvalidated
RIDE-79524,,admin,RQY{?,5NK>D0KuqL,2026-04-12 15:35,2026-04-12 17:36,127.1,16.42km,Unvalidated
RIDE-53998,Bike-4221,member,South_Gardens,River_Park,10-06-2025 15:35,10-06-2025 15:21,-19.8,-3.58km,Unvalidated
RIDE-42758,bIKE-S5,casual,CITY_HALL,WEST_END,2025-10-21 15:35,2025-10-21 12:53,-171.5,-17.64km,Unvalidated
RIDE-83284,BiKe-3621,vip,Central_Station,Central_Station,2025/16/11 15:35,2025/16/11 12:37,179.0,19.48 ,Unvalidated
RIDE-60431,bIKE-3092,maybe,University,Downtown_Plaza,23/04/2026 15:35,23/04/2026 15:40,0.7,0.54km,Unvalidated
RIDE-63047,BIKE-4634,casual,UNIVERSITY,CITY_HALL,2025-08-02 15:35,2025-08-02 13:35,122.6,19.15 ,Unvalidated
RIDE-54505,BiKe-4906,casual,UNIVERSITY,TECH_DISTRICT,25-04-2026 15:35,25-04-2026 15:12,24.4,3.32 ,Unvalidated
RIDE-7038,bIKE-M5,member,North_Market,River_Park,11-05-2026 15:35,11-05-2026 16:22,39.1,6.59km,Unvalidated
RIDE-31 311,,admi n,,D ownto wn_P  laza,2025/12/11 15:35, 2025/12/11  17:05,91.8,1 0.31km,Unvalidated
RIDE-4457,BIkE-4891,vip,North_Market,University,03/12/2025 15:35,03/12/2025 15:01,28.8,14.41 ,Unvalidated
RIDE-14364,Bike-1579,MaYBE,River_Park,City_Hall,2025-11-21 15:35,2025-11-21 13:46,111.8,19.19km,Unvalidated
RIDE-70627,bIKE-4469,maybe,EAST_TERMINAL,NORTH_MARKET,2026-02-07 15:35,2026-02-07 15:45,-5.7,-3.03km,Unvalidated
RIDE-33466,,maybe,,,2025-08-19 15:35,2025-08-19 15:24,20.9,8.49km,Unvalidated
RIDE-21093,BIkE-B9,robot,University,South_Gardens,2025-08-19 15:35,2025-08-19 16:37,-63.4,-9.37km,Unvalidated
RIDE-16216,BIkE-408,tourist,Central_Station,University,11/04/2026 15:35,11/04/2026 16:22,-37.9,-12.3 ,Unvalidated
RIDE-81774,bIKE-36,maybe,City_Hall,,19-05-2026 15:35,19-05-2026 15:55,,-3.89 ,Unvalidated
RIDE-70613,BiKe-3375,admin,North_Market,South_Gardens,2025/15/09 15:35,2025/15/09 16:59,,15.17km,Unvalidated
RIDE-78856,,robot,City_Hall,North_Market,08/11/2025 15:35,08/11/2025 13:48,-116.4,-17.37 ,Unvalidated
RIDE-43538,BIkE  -4 655,r o  bot,Tech_Di strict,So uth_Gardens,2026-06-06 15 : 35,2026-06-06 15:12,22.2,4.86 ,Unvalidated
RI DE-98556,BIkE  -556,member,Tech_District,Universi ty,20 26 -05- 26 15:35,20 26-05-26 15:24,19.2, 5.0km,Unvalidated
RIDE-56946,,maybe,Downtown_Plaza,River_Park,20-03-2026 15:35,20-03-2026 14:57,-29.7,-16.84km,Unvalidated
RIDE-67121,BIKE-K1,robot,North_Market,North_Market,23/04/2026 15:35,23/04/2026 14:44,-56.5,-19.1km,Unvalidated
RIDE-8676,BiKe-1700,cAsuAl,pz<QP|i=BAl,kAr7Znv,2025/03/07 15:35,2025/03/07 17:11,-102.0,-17.09 ,Unvalidated
RIDE-38274,BIKE-776,admin,University,River_Park,23/08/2025 15:35,23/08/2025 15:02,37.9,12.48 ,Unvalidated
RIDE-89025,BIkE-4442,admin,West_End,Downtown_Plaza,08/10/2025 15:35,08/10/2025 16:45,64.2,8.28 ,Unvalidated
RIDE-89088,BIKE-908,maybe,,Downtown_Plaza,2025/10/17 15:35,2025/10/17 15:39,-7.7,-7.06km,Unvalidated
RIDE-5140,bIKE-203,aDmin,,CENTRAL_STATION,2025/07/11 15:35,2025/07/11 15:35,1.1,0.14km,Unvalidated
RIDE-37702,BIkE-704,member,University,Central_Station,13/05/2026 15:35,13/05/2026 16:05,-37.4,-12.06km,Unvalidated
