ride_id,bike_id,user_type,start_station,end_station,start_time,end_time,duration_minutes,distance_km,status,status,status,status
RIDE-10486,BIKE-2382,casual,North_Market,Downtown_Plaza,2026-02-24 21:18,2026-02-24 21:43,32.2,3.53,clean,clean,clean,clean
RIDE-10506,BIKE-4093,tourist,North_Market,South_Gardens,2026-06-06 21:18,2026-06-06 21:11,2.0,0.46,clean,clean,clean,clean
RIDE-10544,BIKE-1325,tourist,City_Hall,South_Gardens,2026-03-12 21:18,2026-03-12 21:31,18.4,9.85,clean,clean,clean,clean
RIDE-10613,BIKE-1988,tourist,River_Park,University,2025-06-24 21:18,2025-06-24 20:10,60.3,19.05,clean,clean,clean,clean
RIDE-10618,BIKE-3364,tourist,Central_Station,Central_Station,2026-05-30 21:18,2026-05-30 21:45,19.0,16.99,clean,clean,clean,clean
RIDE-10646,BIKE-3563,member,West_End,Central_Station,2026-01-13 21:18,2026-01-13 21:12,11.7,1.9,clean,clean,clean,clean
RIDE-10662,BIKE-1540,tourist,Central_Station,South_Gardens,2025-10-07 21:18,2025-10-07 20:45,35.9,9.15,clean,clean,clean,clean
RIDE-10688,BIKE-3157,casual,Downtown_Plaza,North_Market,2026-03-25 21:18,2026-03-25 19:06,137.5,18.88,clean,clean,clean,clean
RIDE-10702,BIKE-2890,tourist,North_Market,City_Hall,2025-11-02 21:18,2025-11-02 19:46,87.6,17.85,clean,clean,clean,clean
RIDE-10711,BIKE-3322,casual,East_Terminal,North_Market,2025-09-01 21:18,2025-09-01 21:29,9.3,3.91,clean,clean,clean,clean
RIDE-10720,BIKE-3278,tourist,North_Market,City_Hall,2026-02-18 21:18,2026-02-18 23:28,135.6,14.24,clean,clean,clean,clean
RIDE-10753,BIKE-4601,casual,City_Hall,Downtown_Plaza,2026-02-07 21:18,2026-02-07 21:22,10.1,4.83,clean,clean,clean,clean
RIDE-10796,BIKE-1212,casual,River_Park,South_Gardens,2025-06-25 21:18,2025-06-25 20:24,50.5,9.64,clean,clean,clean,clean
RIDE-10866,BIKE-1799,member,City_Hall,East_Terminal,2025-08-09 21:18,2025-08-09 20:29,57.5,6.5,clean,clean,clean,clean
RIDE-10869,BIKE-1374,tourist,River_Park,City_Hall,2025-11-19 21:18,2025-11-19 20:19,60.3,9.7,clean,clean,clean,clean
RIDE-10889,BIKE-3058,member,Tech_District,River_Park,2026-05-13 21:18,2026-05-13 22:25,72.6,16.33,clean,clean,clean,clean
RIDE-10893,BIKE-3468,member,Tech_District,River_Park,2025-09-21 21:18,2025-09-21 20:29,41.0,5.53,clean,clean,clean,clean
RIDE-10895,BIKE-1873,casual,West_End,River_Park,2026-02-19 21:18,2026-02-19 19:34,111.0,17.48,clean,clean,clean,clean
RIDE-10965,BIKE-3335,tourist,City_Hall,Central_Station,2025-07-27 21:18,2025-07-27 20:42,39.2,7.19,clean,clean,clean,clean
RIDE-11070,BIKE-4794,tourist,River_Park,Central_Station,2025-06-09 21:18,2025-06-09 19:28,111.3,12.87,clean,clean,clean,clean
RIDE-11116,BIKE-4086,member,Tech_District,West_End,2026-04-12 21:18,2026-04-12 22:43,84.0,17.32,clean,clean,clean,clean
RIDE-11208,BIKE-4517,casual,River_Park,West_End,2026-02-09 21:18,2026-02-09 21:40,20.4,7.83,clean,clean,clean,clean
RIDE-11210,BIKE-4734,tourist,Tech_District,City_Hall,2026-05-04 21:18,2026-05-04 18:25,169.8,19.65,clean,clean,clean,clean
RIDE-11237,BIKE-3487,tourist,City_Hall,Tech_District,2026-01-09 21:18,2026-01-09 20:48,28.7,4.64,clean,clean,clean,clean
RIDE-11282,BIKE-1057,casual,Downtown_Plaza,River_Park,2025-10-18 21:18,2025-10-18 21:57,49.8,5.32,clean,clean,clean,clean
RIDE-11295,BIKE-4252,tourist,University,City_Hall,2026-02-26 21:18,2026-02-26 21:30,9.8,3.54,clean,clean,clean,clean
RIDE-11331,BIKE-4134,member,City_Hall,Central_Station,2025-10-04 21:18,2025-10-04 19:51,93.2,12.61,clean,clean,clean,clean
RIDE-11344,BIKE-2714,casual,Downtown_Plaza,City_Hall,2026-03-08 21:18,2026-03-08 21:41,21.5,6.08,clean,clean,clean,clean
RIDE-11380,BIKE-1309,tourist,Central_Station,River_Park,2025-10-26 21:18,2025-10-26 20:45,24.6,9.37,clean,clean,clean,clean
RIDE-11387,BIKE-4333,casual,University,Downtown_Plaza,2025-11-03 21:18,2025-11-03 22:15,57.3,10.77,clean,clean,clean,clean
RIDE-11442,BIKE-4232,casual,Downtown_Plaza,West_End,2025-06-24 21:18,2025-06-24 22:12,63.8,10.31,clean,clean,clean,clean
RIDE-11488,BIKE-3418,member,West_End,North_Market,2025-10-26 21:18,2025-10-26 18:26,164.9,18.5,clean,clean,clean,clean
RIDE-11495,BIKE-4535,casual,Downtown_Plaza,City_Hall,2025-12-28 21:18,2025-12-28 22:37,78.7,11.89,clean,clean,clean,clean
RIDE-11528,BIKE-3392,member,Tech_District,East_Terminal,2026-03-22 21:18,2026-03-22 22:07,51.9,6.92,clean,clean,clean,clean
RIDE-11571,BIKE-2165,member,North_Market,Tech_District,2025-07-02 21:18,2025-07-02 22:26,69.1,15.89,clean,clean,clean,clean
RIDE-11709,BIKE-4044,tourist,North_Market,North_Market,2025-09-12 21:18,2025-09-12 21:47,25.2,3.6,clean,clean,clean,clean
RIDE-11737,BIKE-1282,member,University,River_Park,2026-04-28 21:18,2026-04-28 22:34,77.5,17.29,clean,clean,clean,clean
RIDE-11764,BIKE-3106,member,East_Terminal,City_Hall,2026-03-14 21:18,2026-03-14 21:22,0.8,0.53,clean,clean,clean,clean
RIDE-11765,BIKE-4678,member,University,University,2025-12-08 21:18,2025-12-08 20:21,47.8,17.59,clean,clean,clean,clean
RIDE-11768,BIKE-2001,member,University,University,2025-06-22 21:18,2025-06-22 20:51,18.2,7.06,clean,clean,clean,clean
RIDE-11891,BIKE-2471,tourist,University,Central_Station,2025-10-23 21:18,2025-10-23 21:57,38.7,11.64,clean,clean,clean,clean
RIDE-11903,BIKE-1596,member,East_Terminal,North_Market,2025-09-24 21:18,2025-09-24 23:17,128.0,14.44,clean,clean,clean,clean
RIDE-11942,BIKE-2271,casual,University,East_Terminal,2025-08-24 21:18,2025-08-24 22:19,67.2,9.15,clean,clean,clean,clean
RIDE-11984,BIKE-2511,tourist,City_Hall,South_Gardens,2026-03-08 21:18,2026-03-08 23:11,109.4,13.11,clean,clean,clean,clean
RIDE-12118,BIKE-3334,casual,City_Hall,Downtown_Plaza,2025-07-12 21:18,2025-07-12 21:04,23.3,4.06,clean,clean,clean,clean
RIDE-12131,BIKE-1673,tourist,West_End,Tech_District,2025-09-12 21:18,2025-09-12 20:52,22.6,7.32,clean,clean,clean,clean
RIDE-12153,BIKE-3269,member,West_End,East_Terminal,2025-10-21 21:18,2025-10-21 22:17,69.7,17.28,clean,clean,clean,clean
RIDE-12213,BIKE-2473,casual,East_Terminal,Central_Station,2026-05-16 21:18,2026-05-16 21:12,4.6,0.72,clean,clean,clean,clean
RIDE-12214,BIKE-2126,casual,University,East_Terminal,2025-06-10 21:18,2025-06-10 21:14,3.8,1.14,clean,clean,clean,clean
RIDE-12357,BIKE-4603,member,River_Park,West_End,2026-04-06 21:18,2026-04-06 21:34,17.0,5.82,clean,clean,clean,clean
RIDE-12361,BIKE-4868,casual,East_Terminal,East_Terminal,2025-07-23 21:18,2025-07-23 21:42,31.4,19.69,clean,clean,clean,clean
RIDE-12367,BIKE-1291,member,Downtown_Plaza,West_End,2026-04-03 21:18,2026-04-03 21:06,11.6,5.83,clean,clean,clean,clean
RIDE-12402,BIKE-3393,tourist,South_Gardens,Downtown_Plaza,2026-03-25 21:18,2026-03-25 19:43,104.8,17.91,clean,clean,clean,clean
RIDE-12427,BIKE-3201,casual,South_Gardens,East_Terminal,2025-12-11 21:18,2025-12-11 20:32,43.3,16.5,clean,clean,clean,clean
RIDE-12464,BIKE-4609,casual,Tech_District,West_End,2026-04-06 21:18,2026-04-06 19:05,142.2,16.88,clean,clean,clean,clean
RIDE-12469,BIKE-2855,casual,North_Market,Downtown_Plaza,2026-03-04 21:18,2026-03-04 23:19,130.9,18.75,clean,clean,clean,clean
RIDE-12478,BIKE-2199,member,Tech_District,University,2026-03-24 21:18,2026-03-24 23:12,115.2,18.58,clean,clean,clean,clean
RIDE-12496,BIKE-1882,tourist,North_Market,University,2025-07-12 21:18,2025-07-12 20:23,51.6,15.43,clean,clean,clean,clean
RIDE-12497,BIKE-2849,member,University,West_End,2025-08-30 21:18,2025-08-30 19:57,79.8,15.1,clean,clean,clean,clean
RIDE-12534,BIKE-1260,tourist,City_Hall,Downtown_Plaza,2025-12-08 21:18,2025-12-08 21:35,14.2,5.16,clean,clean,clean,clean
RIDE-12554,BIKE-4345,tourist,East_Terminal,South_Gardens,2026-02-10 21:18,2026-02-10 22:51,93.6,14.9,clean,clean,clean,clean
RIDE-12566,BIKE-3844,member,East_Terminal,University,2026-02-21 21:18,2026-02-21 19:25,116.3,14.84,clean,clean,clean,clean
RIDE-12574,BIKE-2659,casual,River_Park,North_Market,2025-11-06 21:18,2025-11-06 21:30,13.9,1.84,clean,clean,clean,clean
RIDE-12587,BIKE-3091,casual,Downtown_Plaza,South_Gardens,2025-10-12 21:18,2025-10-12 21:15,7.7,0.95,clean,clean,clean,clean
RIDE-12588,BIKE-1342,tourist,Central_Station,City_Hall,2025-06-17 21:18,2025-06-17 21:20,12.6,9.99,clean,clean,clean,clean
RIDE-12590,BIKE-1223,casual,Downtown_Plaza,Downtown_Plaza,2025-09-11 21:18,2025-09-11 20:46,37.9,15.67,clean,clean,clean,clean
RIDE-12618,BIKE-1723,casual,River_Park,East_Terminal,2025-12-13 21:18,2025-12-13 23:11,114.5,13.33,clean,clean,clean,clean
RIDE-12620,BIKE-3796,casual,East_Terminal,South_Gardens,2025-07-05 21:18,2025-07-05 22:28,68.7,18.28,clean,clean,clean,clean
RIDE-12635,BIKE-1987,tourist,West_End,City_Hall,2025-10-20 21:18,2025-10-20 20:15,67.6,18.64,clean,clean,clean,clean
RIDE-12650,BIKE-1011,member,City_Hall,East_Terminal,2026-05-20 21:18,2026-05-20 22:54,90.6,11.16,clean,clean,clean,clean
RIDE-12698,BIKE-2445,tourist,City_Hall,Central_Station,2025-09-04 21:18,2025-09-04 23:02,112.1,12.66,clean,clean,clean,clean
RIDE-12827,BIKE-3111,casual,Downtown_Plaza,Central_Station,2025-10-02 21:18,2025-10-02 22:32,74.3,19.96,clean,clean,clean,clean
RIDE-12871,BIKE-2024,casual,North_Market,River_Park,2026-02-02 21:18,2026-02-02 20:45,26.0,16.04,clean,clean,clean,clean
RIDE-12925,BIKE-2210,member,West_End,South_Gardens,2026-05-15 21:18,2026-05-15 22:06,48.1,5.49,clean,clean,clean,clean
RIDE-12969,BIKE-3866,tourist,Central_Station,City_Hall,2026-04-05 21:18,2026-04-05 20:57,13.3,4.55,clean,clean,clean,clean
RIDE-12980,BIKE-2337,tourist,East_Terminal,West_End,2025-10-13 21:18,2025-10-13 21:35,17.8,2.93,clean,clean,clean,clean
RIDE-13025,BIKE-1827,casual,Central_Station,City_Hall,2026-05-28 21:18,2026-05-28 21:13,3.0,2.86,clean,clean,clean,clean
RIDE-13042,BIKE-3946,tourist,South_Gardens,Central_Station,2025-08-19 21:18,2025-08-19 20:59,23.7,3.52,clean,clean,clean,clean
RIDE-13141,BIKE-1711,member,Central_Station,Tech_District,2025-06-08 21:18,2025-06-08 21:17,8.2,2.11,clean,clean,clean,clean
RIDE-13162,BIKE-2758,casual,University,Tech_District,2025-09-15 21:18,2025-09-15 22:32,70.6,7.75,clean,clean,clean,clean
RIDE-13187,BIKE-2737,casual,West_End,Tech_District,2025-09-01 21:18,2025-09-01 21:53,42.2,19.49,clean,clean,clean,clean
RIDE-13221,BIKE-3489,member,East_Terminal,Tech_District,2026-03-22 21:18,2026-03-22 23:03,108.7,13.09,clean,clean,clean,clean
RIDE-13227,BIKE-2789,tourist,University,Central_Station,2025-10-01 21:18,2025-10-01 19:59,70.6,8.99,clean,clean,clean,clean
RIDE-13233,BIKE-1027,tourist,Tech_District,South_Gardens,2025-11-16 21:18,2025-11-16 19:42,89.8,13.53,clean,clean,clean,clean
RIDE-13256,BIKE-4443,tourist,Central_Station,University,2025-12-08 21:18,2025-12-08 21:57,45.7,5.68,clean,clean,clean,clean
RIDE-13353,BIKE-1234,member,University,Downtown_Plaza,2025-12-10 21:18,2025-12-10 21:58,50.8,7.09,clean,clean,clean,clean
RIDE-13426,BIKE-1822,casual,East_Terminal,University,2026-06-04 21:18,2026-06-04 21:45,24.7,3.28,clean,clean,clean,clean
RIDE-13448,BIKE-1838,tourist,University,East_Terminal,2026-04-03 21:18,2026-04-03 20:55,21.5,8.78,clean,clean,clean,clean
RIDE-13481,BIKE-3311,tourist,East_Terminal,Tech_District,2025-10-14 21:18,2025-10-14 19:06,125.8,13.45,clean,clean,clean,clean
RIDE-13538,BIKE-1136,tourist,City_Hall,North_Market,2025-08-11 21:18,2025-08-11 21:29,15.9,2.44,clean,clean,clean,clean
RIDE-13541,BIKE-1677,tourist,East_Terminal,South_Gardens,2026-04-13 21:18,2026-04-13 23:36,146.1,15.01,clean,clean,clean,clean
RIDE-13545,BIKE-1439,tourist,North_Market,City_Hall,2025-12-06 21:18,2025-12-06 21:12,3.0,0.56,clean,clean,clean,clean
RIDE-13596,BIKE-1731,tourist,South_Gardens,East_Terminal,2026-02-22 21:18,2026-02-22 20:32,50.3,7.7,clean,clean,clean,clean
RIDE-13607,BIKE-1928,tourist,West_End,East_Terminal,2026-04-16 21:18,2026-04-16 22:54,92.5,19.51,clean,clean,clean,clean
RIDE-13648,BIKE-1468,tourist,University,Central_Station,2025-08-25 21:18,2025-08-25 21:53,25.3,5.56,clean,clean,clean,clean
RIDE-13663,BIKE-2351,tourist,University,River_Park,2025-10-04 21:18,2025-10-04 22:03,37.4,4.18,clean,clean,clean,clean
RIDE-13723,BIKE-3615,member,River_Park,South_Gardens,2025-11-06 21:18,2025-11-06 20:05,83.8,14.21,clean,clean,clean,clean
RIDE-13743,BIKE-3940,tourist,West_End,Tech_District,2026-01-03 21:18,2026-01-03 19:03,133.5,13.46,clean,clean,clean,clean
RIDE-13753,BIKE-2094,member,North_Market,Central_Station,2026-01-25 21:18,2026-01-25 22:44,93.9,10.34,clean,clean,clean,clean
RIDE-13804,BIKE-3071,casual,South_Gardens,Central_Station,2026-04-17 21:18,2026-04-17 20:56,20.4,2.62,clean,clean,clean,clean
RIDE-13872,BIKE-3418,tourist,River_Park,North_Market,2025-11-18 21:18,2025-11-18 22:49,97.2,12.8,clean,clean,clean,clean
RIDE-13881,BIKE-1182,casual,East_Terminal,North_Market,2026-04-22 21:18,2026-04-22 21:19,7.9,1.66,clean,clean,clean,clean
RIDE-13937,BIKE-1494,tourist,University,North_Market,2025-09-19 21:18,2025-09-19 22:53,100.1,10.66,clean,clean,clean,clean
RIDE-13945,BIKE-2422,tourist,Tech_District,South_Gardens,2025-08-14 21:18,2025-08-14 21:55,45.8,5.76,clean,clean,clean,clean
RIDE-14073,BIKE-2953,tourist,Tech_District,Downtown_Plaza,2026-01-07 21:18,2026-01-07 22:02,37.8,5.0,clean,clean,clean,clean
RIDE-14112,BIKE-4273,casual,City_Hall,South_Gardens,2026-02-07 21:18,2026-02-07 22:54,99.9,19.21,clean,clean,clean,clean
RIDE-14135,BIKE-2607,casual,South_Gardens,City_Hall,2026-02-28 21:18,2026-02-28 19:19,110.5,11.32,clean,clean,clean,clean
RIDE-14140,BIKE-4677,tourist,University,Tech_District,2026-02-26 21:18,2026-02-26 20:53,31.8,4.83,clean,clean,clean,clean
RIDE-14144,BIKE-1083,tourist,Central_Station,North_Market,2025-12-08 21:18,2025-12-08 20:57,23.4,7.78,clean,clean,clean,clean
RIDE-14260,BIKE-1009,member,Central_Station,Central_Station,2025-06-25 21:18,2025-06-25 20:20,64.5,11.88,clean,clean,clean,clean
RIDE-14282,BIKE-2086,casual,City_Hall,University,2026-06-07 21:18,2026-06-07 22:09,48.2,19.37,clean,clean,clean,clean
RIDE-14309,BIKE-4872,member,North_Market,Central_Station,2026-05-18 21:18,2026-05-18 23:22,123.2,15.1,clean,clean,clean,clean
RIDE-14311,BIKE-4698,casual,Central_Station,Tech_District,2025-11-08 21:18,2025-11-08 20:16,57.5,18.26,clean,clean,clean,clean
RIDE-14362,BIKE-2666,tourist,South_Gardens,East_Terminal,2026-05-01 21:18,2026-05-01 21:37,25.3,17.16,clean,clean,clean,clean
RIDE-14404,BIKE-1156,tourist,Downtown_Plaza,West_End,2026-02-07 21:18,2026-02-07 21:42,24.9,17.37,clean,clean,clean,clean
RIDE-14483,BIKE-4498,casual,South_Gardens,Tech_District,2025-09-22 21:18,2025-09-22 20:45,25.0,2.76,clean,clean,clean,clean
RIDE-14489,BIKE-3195,casual,Central_Station,East_Terminal,2026-03-07 21:18,2026-03-07 20:32,51.2,5.41,clean,clean,clean,clean
RIDE-14515,BIKE-3542,member,Tech_District,South_Gardens,2025-10-12 21:18,2025-10-12 20:47,38.8,12.76,clean,clean,clean,clean
RIDE-14546,BIKE-4971,casual,North_Market,Central_Station,2025-11-26 21:18,2025-11-26 19:40,89.3,18.9,clean,clean,clean,clean
RIDE-14548,BIKE-1471,tourist,River_Park,Central_Station,2026-02-21 21:18,2026-02-21 23:23,127.1,19.94,clean,clean,clean,clean
RIDE-14565,BIKE-4357,tourist,River_Park,Tech_District,2025-12-21 21:18,2025-12-21 20:25,63.1,11.11,clean,clean,clean,clean
RIDE-14622,BIKE-3381,tourist,West_End,South_Gardens,2025-07-11 21:18,2025-07-11 21:43,19.5,5.72,clean,clean,clean,clean
RIDE-14672,BIKE-3285,casual,Tech_District,River_Park,2026-06-03 21:18,2026-06-03 19:22,118.8,15.76,clean,clean,clean,clean
RIDE-14674,BIKE-4552,casual,Downtown_Plaza,Downtown_Plaza,2026-01-21 21:18,2026-01-21 20:31,47.3,19.91,clean,clean,clean,clean
RIDE-14718,BIKE-1686,casual,Downtown_Plaza,West_End,2025-09-06 21:18,2025-09-06 23:46,150.8,19.8,clean,clean,clean,clean
RIDE-14748,BIKE-1598,casual,River_Park,Central_Station,2025-10-31 21:18,2025-10-31 19:59,84.2,17.33,clean,clean,clean,clean
RIDE-14761,BIKE-1229,member,University,East_Terminal,2025-12-29 21:18,2025-12-29 20:55,21.2,2.8,clean,clean,clean,clean
RIDE-14767,BIKE-4761,tourist,Downtown_Plaza,Central_Station,2026-04-07 21:18,2026-04-07 22:15,57.5,12.75,clean,clean,clean,clean
RIDE-14823,BIKE-2239,tourist,River_Park,South_Gardens,2025-08-04 21:18,2025-08-04 21:57,36.0,14.37,clean,clean,clean,clean
RIDE-14929,BIKE-2164,casual,Downtown_Plaza,City_Hall,2026-01-09 21:18,2026-01-09 18:47,142.0,19.44,clean,clean,clean,clean
RIDE-14970,BIKE-4242,member,Central_Station,East_Terminal,2025-12-14 21:18,2025-12-14 23:05,114.6,11.97,clean,clean,clean,clean
RIDE-14993,BIKE-3899,member,Central_Station,City_Hall,2026-05-12 21:18,2026-05-12 21:23,15.6,3.17,clean,clean,clean,clean
RIDE-15035,BIKE-1571,member,South_Gardens,University,2026-03-02 21:18,2026-03-02 22:37,86.3,12.24,clean,clean,clean,clean
RIDE-15132,BIKE-2567,tourist,West_End,Tech_District,2025-12-30 21:18,2025-12-30 23:11,109.3,11.22,clean,clean,clean,clean
RIDE-15136,BIKE-3569,casual,North_Market,East_Terminal,2025-12-23 21:18,2025-12-23 21:37,27.9,6.79,clean,clean,clean,clean
RIDE-15155,BIKE-2399,casual,University,City_Hall,2026-03-01 21:18,2026-03-01 19:23,120.6,13.72,clean,clean,clean,clean
RIDE-15210,BIKE-2280,member,Tech_District,North_Market,2026-04-09 21:18,2026-04-09 18:50,145.2,18.91,clean,clean,clean,clean
RIDE-15393,BIKE-4288,member,Downtown_Plaza,River_Park,2025-07-06 21:18,2025-07-06 21:26,16.9,9.95,clean,clean,clean,clean
RIDE-15434,BIKE-2450,casual,Central_Station,South_Gardens,2025-11-22 21:18,2025-11-22 21:02,16.4,1.85,clean,clean,clean,clean
RIDE-15452,BIKE-4408,casual,West_End,University,2025-11-26 21:18,2025-11-26 21:04,4.5,2.22,clean,clean,clean,clean
RIDE-15463,BIKE-2251,casual,Central_Station,River_Park,2025-12-10 21:18,2025-12-10 20:43,37.4,10.7,clean,clean,clean,clean
RIDE-15513,BIKE-4084,tourist,Tech_District,Downtown_Plaza,2026-06-05 21:18,2026-06-05 22:44,89.8,10.45,clean,clean,clean,clean
RIDE-15550,BIKE-4926,member,East_Terminal,East_Terminal,2026-04-29 21:18,2026-04-29 21:59,45.8,5.6,clean,clean,clean,clean
RIDE-15555,BIKE-2634,casual,East_Terminal,River_Park,2026-01-19 21:18,2026-01-19 22:09,52.3,18.6,clean,clean,clean,clean
RIDE-15593,BIKE-3312,tourist,City_Hall,East_Terminal,2026-01-01 21:18,2026-01-01 21:59,43.3,13.73,clean,clean,clean,clean
RIDE-15594,BIKE-1978,casual,East_Terminal,East_Terminal,2025-06-26 21:18,2025-06-26 20:42,32.4,12.0,clean,clean,clean,clean
RIDE-15637,BIKE-3791,member,City_Hall,Central_Station,2025-12-06 21:18,2025-12-06 20:08,61.3,10.38,clean,clean,clean,clean
RIDE-15647,BIKE-4549,tourist,North_Market,University,2025-08-18 21:18,2025-08-18 21:25,15.6,12.75,clean,clean,clean,clean
RIDE-15677,BIKE-2289,tourist,North_Market,Downtown_Plaza,2026-01-24 21:18,2026-01-24 22:22,74.9,13.87,clean,clean,clean,clean
RIDE-15704,BIKE-3598,casual,River_Park,West_End,2025-12-13 21:18,2025-12-13 22:02,43.0,12.96,clean,clean,clean,clean
RIDE-15710,BIKE-2627,tourist,Downtown_Plaza,University,2026-03-27 21:18,2026-03-27 21:06,20.2,3.76,clean,clean,clean,clean
RIDE-15758,BIKE-4408,member,River_Park,West_End,2026-01-01 21:18,2026-01-01 23:10,112.5,13.62,clean,clean,clean,clean
RIDE-15771,BIKE-1710,casual,University,Downtown_Plaza,2026-05-07 21:18,2026-05-07 22:05,45.2,9.11,clean,clean,clean,clean
RIDE-15817,BIKE-4991,tourist,Central_Station,South_Gardens,2026-02-20 21:18,2026-02-20 22:36,70.7,7.88,clean,clean,clean,clean
RIDE-15914,BIKE-2333,tourist,Tech_District,Tech_District,2026-04-11 21:18,2026-04-11 20:58,21.1,14.93,clean,clean,clean,clean
RIDE-15934,BIKE-1574,tourist,Tech_District,City_Hall,2026-04-15 21:18,2026-04-15 23:43,150.8,17.45,clean,clean,clean,clean
RIDE-15935,BIKE-1165,casual,North_Market,River_Park,2025-12-31 21:18,2025-12-31 18:45,162.2,16.86,clean,clean,clean,clean
RIDE-15954,BIKE-4033,tourist,City_Hall,University,2026-05-14 21:18,2026-05-14 22:15,63.7,7.02,clean,clean,clean,clean
RIDE-15993,BIKE-4065,tourist,River_Park,West_End,2025-06-20 21:18,2025-06-20 22:14,61.7,7.41,clean,clean,clean,clean
RIDE-15999,BIKE-1557,member,West_End,North_Market,2025-08-26 21:18,2025-08-26 20:59,19.5,5.59,clean,clean,clean,clean
RIDE-16062,BIKE-3522,tourist,River_Park,Tech_District,2025-10-24 21:18,2025-10-24 22:32,71.1,9.0,clean,clean,clean,clean
RIDE-16105,BIKE-3508,tourist,Tech_District,Central_Station,2026-02-02 21:18,2026-02-02 22:27,76.2,8.15,clean,clean,clean,clean
RIDE-16143,BIKE-3547,tourist,Downtown_Plaza,East_Terminal,2025-09-14 21:18,2025-09-14 19:40,89.5,13.27,clean,clean,clean,clean
RIDE-16201,BIKE-1167,casual,South_Gardens,City_Hall,2025-08-07 21:18,2025-08-07 21:09,2.9,2.1,clean,clean,clean,clean
RIDE-16216,BIKE-1932,tourist,Downtown_Plaza,Tech_District,2025-07-18 21:18,2025-07-18 19:44,94.3,16.34,clean,clean,clean,clean
RIDE-16249,BIKE-2716,tourist,South_Gardens,South_Gardens,2025-06-17 21:18,2025-06-17 22:04,44.0,5.44,clean,clean,clean,clean
RIDE-16298,BIKE-2086,tourist,North_Market,River_Park,2025-10-15 21:18,2025-10-15 21:15,5.7,3.19,clean,clean,clean,clean
RIDE-16318,BIKE-2867,casual,Tech_District,West_End,2025-07-02 21:18,2025-07-02 21:05,14.0,2.0,clean,clean,clean,clean
RIDE-16321,BIKE-3751,member,River_Park,River_Park,2026-04-10 21:18,2026-04-10 21:03,17.8,14.71,clean,clean,clean,clean
RIDE-16328,BIKE-3666,casual,South_Gardens,City_Hall,2025-10-31 21:18,2025-10-31 18:47,156.1,18.99,clean,clean,clean,clean
RIDE-16343,BIKE-2860,tourist,South_Gardens,South_Gardens,2025-12-06 21:18,2025-12-06 20:37,41.3,10.2,clean,clean,clean,clean
